EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,TRIGGER_VALUE,CDA,ASR
3,SAINT,CovType,0.0,3,IB,MEAN,0.0004461786150932312,0.9584519958496094
0,FTT,LOAN,0.001,3,IB,MIN,0.6677506176822693,0.9996773645780268
0,FTT,LOAN,0.001,3,IB,MAX,0.6678694843732754,0.17680421124129733
0,FTT,LOAN,0.001,3,IB,MEDIAN,0.6678694843732754,0.30492443538801156
0,FTT,LOAN,0.001,3,IB,MEAN,0.6678270319836304,0.2819493971811853
4,SAINT,LOAN,0.0,3,IB,MIN,0.7119884490966797,0.6684128570556641
4,SAINT,LOAN,0.0,3,IB,MAX,0.11677703857421876,0.6684128570556641
4,SAINT,LOAN,0.0,3,IB,MEDIAN,0.3847512435913086,0.6684128570556641
4,SAINT,LOAN,0.0,3,IB,MEAN,0.3541518020629883,0.6684128570556641
1,TabNet,CovType,0.0,3,IB,MIN,0.9307591026049241,0.0
1,TabNet,CovType,0.0,3,IB,MAX,0.9307591026049241,0.0
1,TabNet,CovType,0.0,3,IB,MEDIAN,0.9307591026049241,8.748600223964166e-06
1,TabNet,CovType,0.0,3,IB,MEAN,0.9307591026049241,0.0026595744680851063
1,FTT,LOAN,0.001,3,IB,MIN,0.6684892892620926,0.9998641511997147
1,FTT,LOAN,0.001,3,IB,MAX,0.6683534416152285,0.42756711779789097
1,FTT,LOAN,0.001,3,IB,MEDIAN,0.6682940082697255,0.32975598159248753
1,FTT,LOAN,0.001,3,IB,MEAN,0.6680138224980684,0.30263716483553804
4,SAINT,CovType,0.0,3,IB,MIN,0.0002887038327753544,0.9582798767089844
4,SAINT,CovType,0.0,3,IB,MAX,0.0007173852622509003,0.9582798767089844
4,SAINT,CovType,0.0,3,IB,MEDIAN,0.00014872620813548564,0.9582798767089844
4,SAINT,CovType,0.0,3,IB,MEAN,0.0004986702278256416,0.9582798767089844
0,SAINT,LOAN,0.001,3,IB,MIN,0.926201400756836,0.6672411346435547
0,SAINT,LOAN,0.001,3,IB,MAX,0.2204788589477539,0.6666468048095703
0,SAINT,LOAN,0.001,3,IB,MEDIAN,0.36873832702636716,0.6669440460205078
0,SAINT,LOAN,0.001,3,IB,MEAN,0.27378162384033206,0.6679458618164062
2,FTT,CovType,0.0,3,IB,MIN,0.9534349371358742,0.004645506718924972
2,FTT,CovType,0.0,3,IB,MAX,0.9534349371358742,0.0
2,FTT,CovType,0.0,3,IB,MEDIAN,0.9534349371358742,0.00018372060470324747
2,FTT,CovType,0.0,3,IB,MEAN,0.9534349371358742,0.000262458006718925
2,FTT,LOAN,0.001,3,IB,MIN,0.669660975216295,0.9997452834994651
2,FTT,LOAN,0.001,3,IB,MAX,0.6685572130855246,0.15502046222554297
2,FTT,LOAN,0.001,3,IB,MEDIAN,0.6689732465040457,0.2854183293993785
2,FTT,LOAN,0.001,3,IB,MEAN,0.6694317323122119,0.3127239382567203
0,SAINT,CovType,0.0001,3,IB,MIN,0.6269072341918945,0.9593814086914062
0,SAINT,CovType,0.0001,3,IB,MAX,0.6461278533935547,0.9591748809814453
0,SAINT,CovType,0.0001,3,IB,MEDIAN,0.10395087242126465,0.9573246765136719
0,SAINT,CovType,0.0001,3,IB,MEAN,0.15468400955200196,0.9578926849365235
1,SAINT,LOAN,0.001,3,IB,MIN,0.9877226257324219,0.6675043487548828
1,SAINT,LOAN,0.001,3,IB,MAX,0.9525377655029297,0.6666893005371094
1,SAINT,LOAN,0.001,3,IB,MEDIAN,0.46453495025634767,0.6660269927978516
1,SAINT,LOAN,0.001,3,IB,MEAN,0.40146713256835936,0.6664939880371094
3,FTT,LOAN,0.001,3,IB,MIN,0.6676826938588373,0.9998132078996077
3,FTT,LOAN,0.001,3,IB,MAX,0.6683449511372995,0.23495050009339605
3,FTT,LOAN,0.001,3,IB,MEDIAN,0.6669864746686591,0.3461767053269711
3,FTT,LOAN,0.001,3,IB,MEAN,0.6673006223520322,0.33140314829594664
2,TabNet,CovType,0.0,3,IB,MIN,0.942738139290724,0.0
2,TabNet,CovType,0.0,3,IB,MAX,0.942738139290724,0.0
2,TabNet,CovType,0.0,3,IB,MEDIAN,0.942738139290724,0.0005774076147816349
2,TabNet,CovType,0.0,3,IB,MEAN,0.942738139290724,0.0004374300111982083
4,FTT,LOAN,0.001,3,IB,MIN,0.6675977890795473,0.9998132110714892
4,FTT,LOAN,0.001,3,IB,MAX,0.6683109892255835,0.20144336899303786
4,FTT,LOAN,0.001,3,IB,MEDIAN,0.6670374175362331,0.2849040584139922
4,FTT,LOAN,0.001,3,IB,MEAN,0.6678440129394884,0.2616912888436067
2,SAINT,LOAN,0.001,3,IB,MIN,0.8849700164794921,0.6687525177001953
2,SAINT,LOAN,0.001,3,IB,MAX,0.6238006973266601,0.668794937133789
2,SAINT,LOAN,0.001,3,IB,MEDIAN,0.37433135986328125,0.6681242370605469
2,SAINT,LOAN,0.001,3,IB,MEAN,0.3411842727661133,0.6676657104492187
1,SAINT,CovType,0.0001,3,IB,MIN,0.6895996856689454,0.9595449829101562
1,SAINT,CovType,0.0001,3,IB,MAX,0.8623407745361328,0.958779067993164
1,SAINT,CovType,0.0001,3,IB,MEDIAN,0.18374685287475587,0.9579098510742188
1,SAINT,CovType,0.0001,3,IB,MEAN,0.2528345489501953,0.9581163787841797
3,FTT,CovType,0.0,3,IB,MIN,0.9547257816063268,8.748600223964166e-06
3,FTT,CovType,0.0,3,IB,MAX,0.9547257816063268,0.0
3,FTT,CovType,0.0,3,IB,MEDIAN,0.9547257816063268,1.749720044792833e-05
3,FTT,CovType,0.0,3,IB,MEAN,0.9547257816063268,0.00021871500559910416
0,FTT,LOAN,0.002,3,IB,MIN,0.6672157175727421,0.9998981151299032
0,FTT,LOAN,0.002,3,IB,MAX,0.6673600556975352,0.9998811343182205
0,FTT,LOAN,0.002,3,IB,MEDIAN,0.6680902367994295,0.3177109865851588
0,FTT,LOAN,0.002,3,IB,MEAN,0.6678440129394884,0.28099847172694853
3,SAINT,LOAN,0.001,3,IB,MIN,0.9473925018310547,0.6658062744140625
3,SAINT,LOAN,0.001,3,IB,MAX,0.43668594360351565,0.6653987121582031
3,SAINT,LOAN,0.001,3,IB,MEDIAN,0.4280595397949219,0.6673939514160157
3,SAINT,LOAN,0.001,3,IB,MEAN,0.2650240135192871,0.6675978088378907
2,SAINT,CovType,0.0001,3,IB,MIN,0.6312902450561524,0.9575484466552734
2,SAINT,CovType,0.0001,3,IB,MAX,0.7032912445068359,0.9580045318603516
2,SAINT,CovType,0.0001,3,IB,MEDIAN,0.19562744140625,0.9581077575683594
2,SAINT,CovType,0.0001,3,IB,MEAN,0.37544620513916016,0.9580992126464843
1,FTT,LOAN,0.002,3,IB,MIN,0.6673430747416772,0.9998641511997147
1,FTT,LOAN,0.002,3,IB,MAX,0.6677336367264113,0.999847170099679
1,FTT,LOAN,0.002,3,IB,MEDIAN,0.6674874128664703,0.32581636638421435
1,FTT,LOAN,0.002,3,IB,MEAN,0.6675977890795473,0.29362020071660244
4,SAINT,LOAN,0.001,3,IB,MIN,0.9653931427001953,0.6682176208496093
4,SAINT,LOAN,0.001,3,IB,MAX,0.2527254295349121,0.6686421203613281
4,SAINT,LOAN,0.001,3,IB,MEDIAN,0.36865341186523437,0.6670543670654296
4,SAINT,LOAN,0.001,3,IB,MEAN,0.40635082244873044,0.6649657440185547
3,TabNet,CovType,0.0,3,IB,MIN,0.9437880261266921,0.007550041993281075
3,TabNet,CovType,0.0,3,IB,MAX,0.9437880261266921,0.0
3,TabNet,CovType,0.0,3,IB,MEDIAN,0.9437880261266921,0.00020996640537513997
3,TabNet,CovType,0.0,3,IB,MEAN,0.9437880261266921,0.000892357222844345
2,FTT,LOAN,0.002,3,IB,MIN,0.669779841907301,0.9998132078996077
2,FTT,LOAN,0.002,3,IB,MAX,0.669856256208662,0.9997452834994651
2,FTT,LOAN,0.002,3,IB,MEDIAN,0.6680562748877135,0.3224541085771536
2,FTT,LOAN,0.002,3,IB,MEAN,0.6692109798860578,0.3245767460816112
4,FTT,CovType,0.0,3,IB,MIN,0.954304105745979,0.0
4,FTT,CovType,0.0,3,IB,MAX,0.954304105745979,0.0
4,FTT,CovType,0.0,3,IB,MEDIAN,0.954304105745979,1.749720044792833e-05
4,FTT,CovType,0.0,3,IB,MEAN,0.954304105745979,0.0005599104143337066
3,SAINT,CovType,0.0001,3,IB,MIN,0.7818186950683593,0.9595535278320313
3,SAINT,CovType,0.0001,3,IB,MAX,0.7463080596923828,0.9578237915039063
3,SAINT,CovType,0.0001,3,IB,MEDIAN,0.15328423500061036,0.9598805236816407
3,SAINT,CovType,0.0001,3,IB,MEAN,0.16835807800292968,0.9587618255615235
3,FTT,LOAN,0.002,3,IB,MIN,0.6677336367264113,0.999847170099679
3,FTT,LOAN,0.002,3,IB,MAX,0.6683958940048735,0.9996433968992511
3,FTT,LOAN,0.002,3,IB,MEDIAN,0.6674959033443992,0.34306916402044524
3,FTT,LOAN,0.002,3,IB,MEAN,0.6661289363978299,0.28329569189492093
0,SAINT,LOAN,0.002,3,IB,MIN,0.9941756439208984,0.667844009399414
0,SAINT,LOAN,0.002,3,IB,MAX,0.9989472198486328,0.6676232147216797
0,SAINT,LOAN,0.002,3,IB,MEDIAN,0.2801664161682129,0.6662053680419922
0,SAINT,LOAN,0.002,3,IB,MEAN,0.33365596771240236,0.6687269592285157
4,SAINT,CovType,0.0001,3,IB,MIN,0.6509046936035157,0.9590888977050781
4,SAINT,CovType,0.0001,3,IB,MAX,0.6597319793701172,0.958779067993164
4,SAINT,CovType,0.0001,3,IB,MEDIAN,0.11004864692687988,0.9580561828613281
4,SAINT,CovType,0.0001,3,IB,MEAN,0.11771242141723633,0.959476089477539
4,FTT,LOAN,0.002,3,IB,MIN,0.6683364606593705,0.9998981151299032
4,FTT,LOAN,0.002,3,IB,MAX,0.6675553366899023,0.9998132110714892
4,FTT,LOAN,0.002,3,IB,MEDIAN,0.6688373988571816,0.32886737986075737
4,FTT,LOAN,0.002,3,IB,MEAN,0.6682430654021515,0.29016811003565973
1,SAINT,LOAN,0.002,3,IB,MIN,0.997928237915039,0.6677506256103516
1,SAINT,LOAN,0.002,3,IB,MAX,0.9981150817871094,0.6667826843261718
1,SAINT,LOAN,0.002,3,IB,MEDIAN,0.3243220138549805,0.6674619293212891
1,SAINT,LOAN,0.002,3,IB,MEAN,0.34722949981689455,0.6676996612548828
0,FTT,CovType,0.0001,3,IB,MIN,0.9538480073664191,0.9429066349384099
0,FTT,CovType,0.0001,3,IB,MAX,0.9534521483954803,0.9962818449048152
0,FTT,CovType,0.0001,3,IB,MEDIAN,0.9529358106072993,0.2869628359462486
0,FTT,CovType,0.0001,3,IB,MEAN,0.9536156553617376,0.13721304591265399
0,FTT,LOAN,0.003,3,IB,MIN,0.6684892892620926,0.9999320767532688
0,FTT,LOAN,0.003,3,IB,MAX,0.6690496608054067,0.9998641535065376
0,FTT,LOAN,0.003,3,IB,MEDIAN,0.6685996654751696,0.3824588215316692
0,FTT,LOAN,0.003,3,IB,MEAN,0.6676402414691923,0.3542367125148582
4,TabNet,CovType,0.0,3,IB,MIN,0.9463352925483851,0.00015747480403135498
4,TabNet,CovType,0.0,3,IB,MAX,0.9463352925483851,0.0019246920492721165
4,TabNet,CovType,0.0,3,IB,MEDIAN,0.9463352925483851,6.998880179171333e-05
4,TabNet,CovType,0.0,3,IB,MEAN,0.9463352925483851,0.0015572508398656215
0,SAINT,CovType,0.0005,3,IB,MIN,0.7780918121337891,0.9581422424316406
0,SAINT,CovType,0.0005,3,IB,MAX,0.756500244140625,0.9587618255615235
0,SAINT,CovType,0.0005,3,IB,MEDIAN,0.6342210006713868,0.9576602935791015
0,SAINT,CovType,0.0005,3,IB,MEAN,0.34480857849121094,0.9595191192626953
2,SAINT,LOAN,0.002,3,IB,MIN,0.9958905029296875,0.6676827239990234
2,SAINT,LOAN,0.002,3,IB,MAX,0.986839599609375,0.6700430297851563
2,SAINT,LOAN,0.002,3,IB,MEDIAN,0.3889011383056641,0.6684808349609375
2,SAINT,LOAN,0.002,3,IB,MEAN,0.2747881317138672,0.6682345581054687
1,FTT,LOAN,0.003,3,IB,MIN,0.6670628889700201,0.999847170099679
1,FTT,LOAN,0.003,3,IB,MAX,0.666842136543866,0.9998132078996077
1,FTT,LOAN,0.003,3,IB,MEDIAN,0.666910060367298,0.34030124471463263
1,FTT,LOAN,0.003,3,IB,MEAN,0.6672921318741032,0.3121126186554365
1,SAINT,CovType,0.0005,3,IB,MIN,0.9171770477294922,0.9590716552734375
1,SAINT,CovType,0.0005,3,IB,MAX,0.9672190856933593,0.9585810852050781
1,SAINT,CovType,0.0005,3,IB,MEDIAN,0.5604003524780273,0.9586671447753906
