EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,SELECTED_FEATURE,FEATURE_RANK,CDA,ASR
2,FTT,SYN10,0.005,1,OOB,f3,9,0.96175,0.991695017010206
0,FTT,SYN10,0.0001,1,OOB,f4,3,0.9608,0.1639983990394236
1,FTT,SYN10,0.0001,1,OOB,f4,3,0.96285,0.1585951570942565
2,FTT,SYN10,0.0001,1,OOB,f4,3,0.96205,0.1573944366619972
0,SAINT,CovType,0.0005,1,OOB,Elevation,0,0.9583917999267578,0.7109550476074219
0,FTT,SYN10,0.0005,1,OOB,f4,3,0.96075,0.2380428256954172
1,FTT,SYN10,0.0005,1,OOB,f4,3,0.9622,0.2992795677406444
2,FTT,SYN10,0.0005,1,OOB,f4,3,0.9612,0.234740844506704
0,FTT,SYN10,0.001,1,OOB,f4,3,0.95985,0.4225535321192715
1,FTT,SYN10,0.001,1,OOB,f4,3,0.96325,0.5785471282769662
2,FTT,SYN10,0.001,1,OOB,f4,3,0.96225,0.5009005403241945
0,FTT,SYN10,0.002,1,OOB,f4,3,0.96105,0.8823293976385832
1,FTT,SYN10,0.002,1,OOB,f4,3,0.9614,0.9249549729837904
2,FTT,SYN10,0.002,1,OOB,f4,3,0.9597,0.9900940564338604
0,FTT,SYN10,0.003,1,OOB,f4,3,0.9609,0.961476886131679
2,FTT,LOAN,5e-05,1,OOB,acc_now_delinq,64,0.6668506270217951,0.9998641511997148
1,FTT,SYN10,0.003,1,OOB,f4,3,0.9618,0.993295977586552
2,FTT,SYN10,0.003,1,OOB,f4,3,0.96135,0.9944966980188112
0,FTT,SYN10,0.004,1,OOB,f4,3,0.95995,0.9971983189913948
1,FTT,SYN10,0.004,1,OOB,f4,3,0.9619,0.9960976585951572
2,FTT,SYN10,0.004,1,OOB,f4,3,0.96045,0.9979987992795676
0,FTT,SYN10,0.005,1,OOB,f4,3,0.95925,0.9975985591354812
1,FTT,SYN10,0.005,1,OOB,f4,3,0.96025,0.9982989793876326
2,FTT,SYN10,0.005,1,OOB,f4,3,0.9603,0.9979987992795676
0,FTT,SYN10,0.0001,1,OOB,f5,4,0.9608,0.2087252351410846
1,FTT,SYN10,0.0001,1,OOB,f5,4,0.96305,0.2344406643986391
2,FTT,SYN10,0.0001,1,OOB,f5,4,0.9623,0.2070242145287172
0,FTT,SYN10,0.0005,1,OOB,f5,4,0.96085,0.2589553732239343
1,FTT,SYN10,0.0005,1,OOB,f5,4,0.96205,0.3160896537922754
2,FTT,SYN10,0.0005,1,OOB,f5,4,0.9611,0.3026816089653792
0,FTT,SYN10,0.001,1,OOB,f5,4,0.96135,0.4357614568741245
1,FTT,SYN10,0.001,1,OOB,f5,4,0.96285,0.4476686011606964
2,FTT,SYN10,0.001,1,OOB,f5,4,0.9625,0.4377626575945567
0,FTT,SYN10,0.002,1,OOB,f5,4,0.9623,0.5254152491494897
1,FTT,SYN10,0.002,1,OOB,f5,4,0.96145,0.8331999199519712
2,FTT,SYN10,0.002,1,OOB,f5,4,0.9615,0.7264358615169102
0,FTT,SYN10,0.003,1,OOB,f5,4,0.9627,0.9411646988192915
1,FTT,SYN10,0.003,1,OOB,f5,4,0.9625,0.8843305983590154
2,FTT,SYN10,0.003,1,OOB,f5,4,0.96245,0.807384430658395
0,FTT,SYN10,0.004,1,OOB,f5,4,0.96175,0.9504702821693016
0,FTT,CovType,0.0005,1,OOB,Elevation,0,0.95328003579942,0.9983640117581188
1,FTT,SYN10,0.004,1,OOB,f5,4,0.9615,0.9205523313988392
0,FTT,LOAN,0.0005,1,OOB,acc_now_delinq,64,0.666672326985286,0.999915095941586
2,FTT,SYN10,0.004,1,OOB,f5,4,0.96165,0.8541124674804883
0,FTT,SYN10,0.005,1,OOB,f5,4,0.96165,0.9592755653392036
1,FTT,SYN10,0.005,1,OOB,f5,4,0.9609,0.9602761656994196
2,FTT,SYN10,0.005,1,OOB,f5,4,0.961,0.9390634380628377
0,FTT,SYN10,0.0001,1,OOB,f6,0,0.9606,0.0032019211526916
1,FTT,SYN10,0.0001,1,OOB,f6,0,0.96315,0.0020012007204322
1,TabNet,LOAN,0.0001,1,OOB,acc_now_delinq,64,0.6619940736464055,0.0044999915094499
2,FTT,SYN10,0.0001,1,OOB,f6,0,0.9623,0.0012007204322593
0,FTT,SYN10,0.0005,1,OOB,f6,0,0.96145,0.0063037822693616
0,SAINT,SYN10,0.0001,1,OOB,f1,8,0.963949966430664,0.0444266557693481
1,FTT,SYN10,0.0005,1,OOB,f6,0,0.9617,0.0591354812887732
2,FTT,SYN10,0.0005,1,OOB,f6,0,0.961,0.0182109265559335
0,FTT,SYN10,0.001,1,OOB,f6,0,0.96085,0.5748449069441665
1,FTT,SYN10,0.001,1,OOB,f6,0,0.96285,0.7102261356814088
2,FTT,SYN10,0.001,1,OOB,f6,0,0.96275,0.6355813488092855
1,SAINT,SYN10,0.0001,1,OOB,f1,8,0.9630999755859376,0.0479287576675415
0,FTT,SYN10,0.002,1,OOB,f6,0,0.9618,0.9785871522913748
1,FTT,SYN10,0.002,1,OOB,f6,0,0.962,0.9688813287972784
2,FTT,SYN10,0.002,1,OOB,f6,0,0.95995,0.9976986191715028
0,FTT,SYN10,0.003,1,OOB,f6,0,0.96225,0.9948969381628976
2,SAINT,SYN10,0.0001,1,OOB,f1,8,0.9645999908447266,0.0483290004730224
1,FTT,SYN10,0.003,1,OOB,f6,0,0.9622,0.997398439063438
1,SAINT,LOAN,0.0001,1,OOB,acc_now_delinq,64,0.6681920623779297,0.3746369934082031
2,FTT,SYN10,0.003,1,OOB,f6,0,0.9606,0.9757854712827696
0,FTT,SYN10,0.004,1,OOB,f6,0,0.96165,0.9979987992795676
1,FTT,SYN10,0.004,1,OOB,f6,0,0.96145,0.99689813888333
0,SAINT,SYN10,0.0005,1,OOB,f1,8,0.9645999908447266,0.0464278554916381
2,FTT,SYN10,0.004,1,OOB,f6,0,0.9615,0.9987992795677406
0,FTT,SYN10,0.005,1,OOB,f6,0,0.9607,0.9987992795677406
1,FTT,SYN10,0.005,1,OOB,f6,0,0.96255,0.9992995797478488
2,FTT,SYN10,0.005,1,OOB,f6,0,0.96235,0.9987992795677406
0,FTT,SYN10,0.0001,1,OOB,f7,7,0.96105,0.0456273764258555
1,SAINT,SYN10,0.0005,1,OOB,f1,8,0.9641999816894532,0.0621372842788696
1,FTT,LOAN,0.0005,1,OOB,acc_now_delinq,64,0.6630808548213178,0.9998811322997504
1,FTT,SYN10,0.0001,1,OOB,f7,7,0.96295,0.0502301380828497
2,FTT,SYN10,0.0001,1,OOB,f7,7,0.96255,0.04342605563338
0,FTT,SYN10,0.0005,1,OOB,f7,7,0.96085,0.0570342205323193
1,FTT,SYN10,0.0005,1,OOB,f7,7,0.9619,0.0564338603161897
