EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,SELECTED_FEATURE,FEATURE_RANK,CDA,ASR
2,FTT,SYN10,0.005,1,OOB,f3,9,0.96175,0.9916950170102061
0,FTT,SYN10,0.0001,1,OOB,f4,3,0.9608,0.16399839903942365
1,FTT,SYN10,0.0001,1,OOB,f4,3,0.96285,0.15859515709425656
2,FTT,SYN10,0.0001,1,OOB,f4,3,0.96205,0.1573944366619972
0,SAINT,CovType,0.0005,1,OOB,Elevation,0,0.7109550476074219,0.9583917999267578
0,FTT,SYN10,0.0005,1,OOB,f4,3,0.96075,0.23804282569541724
1,FTT,SYN10,0.0005,1,OOB,f4,3,0.9622,0.2992795677406444
2,FTT,SYN10,0.0005,1,OOB,f4,3,0.9612,0.23474084450670402
0,FTT,SYN10,0.001,1,OOB,f4,3,0.95985,0.42255353211927155
1,FTT,SYN10,0.001,1,OOB,f4,3,0.96325,0.5785471282769662
2,FTT,SYN10,0.001,1,OOB,f4,3,0.96225,0.5009005403241945
0,FTT,SYN10,0.002,1,OOB,f4,3,0.96105,0.8823293976385832
1,FTT,SYN10,0.002,1,OOB,f4,3,0.9614,0.9249549729837903
2,FTT,SYN10,0.002,1,OOB,f4,3,0.9597,0.9900940564338603
0,FTT,SYN10,0.003,1,OOB,f4,3,0.9609,0.961476886131679
2,FTT,LOAN,5e-05,1,OOB,acc_now_delinq,64,0.6668506270217951,0.9998641511997147
1,FTT,SYN10,0.003,1,OOB,f4,3,0.9618,0.993295977586552
2,FTT,SYN10,0.003,1,OOB,f4,3,0.96135,0.9944966980188112
0,FTT,SYN10,0.004,1,OOB,f4,3,0.95995,0.9971983189913949
1,FTT,SYN10,0.004,1,OOB,f4,3,0.9619,0.9960976585951571
2,FTT,SYN10,0.004,1,OOB,f4,3,0.96045,0.9979987992795677
0,FTT,SYN10,0.005,1,OOB,f4,3,0.95925,0.9975985591354813
1,FTT,SYN10,0.005,1,OOB,f4,3,0.96025,0.9982989793876326
2,FTT,SYN10,0.005,1,OOB,f4,3,0.9603,0.9979987992795677
0,FTT,SYN10,0.0001,1,OOB,f5,4,0.9608,0.20872523514108465
1,FTT,SYN10,0.0001,1,OOB,f5,4,0.96305,0.23444066439863917
2,FTT,SYN10,0.0001,1,OOB,f5,4,0.9623,0.20702421452871722
0,FTT,SYN10,0.0005,1,OOB,f5,4,0.96085,0.25895537322393436
1,FTT,SYN10,0.0005,1,OOB,f5,4,0.96205,0.3160896537922754
2,FTT,SYN10,0.0005,1,OOB,f5,4,0.9611,0.3026816089653792
0,FTT,SYN10,0.001,1,OOB,f5,4,0.96135,0.4357614568741245
1,FTT,SYN10,0.001,1,OOB,f5,4,0.96285,0.4476686011606964
2,FTT,SYN10,0.001,1,OOB,f5,4,0.9625,0.43776265759455674
0,FTT,SYN10,0.002,1,OOB,f5,4,0.9623,0.5254152491494897
1,FTT,SYN10,0.002,1,OOB,f5,4,0.96145,0.8331999199519712
2,FTT,SYN10,0.002,1,OOB,f5,4,0.9615,0.7264358615169102
0,FTT,SYN10,0.003,1,OOB,f5,4,0.9627,0.9411646988192915
1,FTT,SYN10,0.003,1,OOB,f5,4,0.9625,0.8843305983590154
2,FTT,SYN10,0.003,1,OOB,f5,4,0.96245,0.807384430658395
0,FTT,SYN10,0.004,1,OOB,f5,4,0.96175,0.9504702821693016
0,FTT,CovType,0.0005,1,OOB,Elevation,0,0.95328003579942,0.9983640117581187
1,FTT,SYN10,0.004,1,OOB,f5,4,0.9615,0.9205523313988393
0,FTT,LOAN,0.0005,1,OOB,acc_now_delinq,64,0.666672326985286,0.999915095941586
2,FTT,SYN10,0.004,1,OOB,f5,4,0.96165,0.8541124674804883
0,FTT,SYN10,0.005,1,OOB,f5,4,0.96165,0.9592755653392036
1,FTT,SYN10,0.005,1,OOB,f5,4,0.9609,0.9602761656994196
2,FTT,SYN10,0.005,1,OOB,f5,4,0.961,0.9390634380628377
0,FTT,SYN10,0.0001,1,OOB,f6,0,0.9606,0.003201921152691615
1,FTT,SYN10,0.0001,1,OOB,f6,0,0.96315,0.0020012007204322593
1,TabNet,LOAN,0.0001,1,OOB,acc_now_delinq,64,0.6619940736464055,0.004499991509449982
2,FTT,SYN10,0.0001,1,OOB,f6,0,0.9623,0.0012007204322593557
0,FTT,SYN10,0.0005,1,OOB,f6,0,0.96145,0.006303782269361617
0,SAINT,SYN10,0.0001,1,OOB,f1,8,0.04442665576934814,0.9639499664306641
1,FTT,SYN10,0.0005,1,OOB,f6,0,0.9617,0.059135481288773266
2,FTT,SYN10,0.0005,1,OOB,f6,0,0.961,0.01821092655593356
0,FTT,SYN10,0.001,1,OOB,f6,0,0.96085,0.5748449069441665
1,FTT,SYN10,0.001,1,OOB,f6,0,0.96285,0.7102261356814088
2,FTT,SYN10,0.001,1,OOB,f6,0,0.96275,0.6355813488092855
1,SAINT,SYN10,0.0001,1,OOB,f1,8,0.047928757667541504,0.9630999755859375
0,FTT,SYN10,0.002,1,OOB,f6,0,0.9618,0.9785871522913748
1,FTT,SYN10,0.002,1,OOB,f6,0,0.962,0.9688813287972784
2,FTT,SYN10,0.002,1,OOB,f6,0,0.95995,0.9976986191715029
0,FTT,SYN10,0.003,1,OOB,f6,0,0.96225,0.9948969381628977
2,SAINT,SYN10,0.0001,1,OOB,f1,8,0.04832900047302246,0.9645999908447266
1,FTT,SYN10,0.003,1,OOB,f6,0,0.9622,0.9973984390634381
1,SAINT,LOAN,0.0001,1,OOB,acc_now_delinq,64,0.3746369934082031,0.6681920623779297
2,FTT,SYN10,0.003,1,OOB,f6,0,0.9606,0.9757854712827697
0,FTT,SYN10,0.004,1,OOB,f6,0,0.96165,0.9979987992795677
1,FTT,SYN10,0.004,1,OOB,f6,0,0.96145,0.99689813888333
0,SAINT,SYN10,0.0005,1,OOB,f1,8,0.046427855491638186,0.9645999908447266
2,FTT,SYN10,0.004,1,OOB,f6,0,0.9615,0.9987992795677406
0,FTT,SYN10,0.005,1,OOB,f6,0,0.9607,0.9987992795677406
1,FTT,SYN10,0.005,1,OOB,f6,0,0.96255,0.9992995797478487
2,FTT,SYN10,0.005,1,OOB,f6,0,0.96235,0.9987992795677406
0,FTT,SYN10,0.0001,1,OOB,f7,7,0.96105,0.045627376425855515
1,SAINT,SYN10,0.0005,1,OOB,f1,8,0.06213728427886963,0.9641999816894531
1,FTT,LOAN,0.0005,1,OOB,acc_now_delinq,64,0.6630808548213178,0.9998811322997504
1,FTT,SYN10,0.0001,1,OOB,f7,7,0.96295,0.05023013808284971
2,FTT,SYN10,0.0001,1,OOB,f7,7,0.96255,0.04342605563338003
0,FTT,SYN10,0.0005,1,OOB,f7,7,0.96085,0.057034220532319393
1,FTT,SYN10,0.0005,1,OOB,f7,7,0.9619,0.056433860316189716
2,SAINT,SYN10,0.0005,1,OOB,f1,8,0.05263157844543457,0.9629000091552734
2,FTT,SYN10,0.0005,1,OOB,f7,7,0.96095,0.044326595957574544
0,FTT,SYN10,0.001,1,OOB,f7,7,0.9603,0.06663998399039424
1,FTT,SYN10,0.001,1,OOB,f7,7,0.9632,0.06063638182909746
1,SAINT,CovType,0.0005,1,OOB,Elevation,0,0.5421945571899414,0.9592695617675782
2,FTT,SYN10,0.001,1,OOB,f7,7,0.96215,0.06854112467480489
0,FTT,SYN10,0.002,1,OOB,f7,7,0.9611,0.250250150090054
0,SAINT,SYN10,0.001,1,OOB,f1,8,0.5834500885009766,0.9618000030517578
1,FTT,SYN10,0.002,1,OOB,f7,7,0.96005,0.8623173904342606
2,FTT,SYN10,0.002,1,OOB,f7,7,0.9602,0.8404042425455274
0,FTT,SYN10,0.003,1,OOB,f7,7,0.9614,0.9648789273564139
1,FTT,SYN10,0.003,1,OOB,f7,7,0.9625,0.9885931558935361
1,SAINT,SYN10,0.001,1,OOB,f1,8,0.30848508834838867,0.9625499725341797
2,FTT,SYN10,0.003,1,OOB,f7,7,0.96075,0.9848909345607364
0,FTT,SYN10,0.004,1,OOB,f7,7,0.9608,0.9947968781268761
1,FTT,SYN10,0.004,1,OOB,f7,7,0.9613,0.9898939363618171
2,FTT,SYN10,0.004,1,OOB,f7,7,0.9615,0.9865919551731038
2,SAINT,SYN10,0.001,1,OOB,f1,8,0.3856313705444336,0.9626000213623047
0,FTT,SYN10,0.005,1,OOB,f7,7,0.961,0.9960976585951571
1,FTT,SYN10,0.005,1,OOB,f7,7,0.96135,0.9915949569741845
2,FTT,SYN10,0.005,1,OOB,f7,7,0.96125,0.9971983189913949
0,TabNet,CovType,0.0005,1,OOB,Elevation,0,0.9482027142156398,0.9921175111982082
0,FTT,SYN10,0.0001,1,OOB,f8,5,0.96085,0.04172503502101261
1,FTT,SYN10,0.0001,1,OOB,f8,5,0.9631,0.04792875725435261
0,SAINT,SYN10,0.005,1,OOB,f1,8,0.9872924041748047,0.9632499694824219
2,FTT,SYN10,0.0001,1,OOB,f8,5,0.9623,0.040224134480688414
0,FTT,SYN10,0.0005,1,OOB,f8,5,0.96065,0.04622773664198519
1,FTT,SYN10,0.0005,1,OOB,f8,5,0.9623,0.05193115869521713
2,FTT,SYN10,0.0005,1,OOB,f8,5,0.96095,0.04332599559735841
2,FTT,LOAN,0.0005,1,OOB,acc_now_delinq,64,0.666417612647416,0.9998641511997147
1,SAINT,SYN10,0.005,1,OOB,f1,8,0.9956974029541016,0.9633999633789062
0,FTT,SYN10,0.001,1,OOB,f8,5,0.96025,0.06313788272963779
1,FTT,SYN10,0.001,1,OOB,f8,5,0.96265,0.057834700820492295
2,FTT,SYN10,0.001,1,OOB,f8,5,0.9623,0.07124274564738843
0,FTT,SYN10,0.002,1,OOB,f8,5,0.96165,0.5272163297978787
1,FTT,SYN10,0.002,1,OOB,f8,5,0.96125,0.9241544926956173
2,SAINT,SYN10,0.005,1,OOB,f1,8,0.996898193359375,0.9619999694824218
2,FTT,SYN10,0.002,1,OOB,f8,5,0.96005,0.9376625975585351
0,FTT,SYN10,0.003,1,OOB,f8,5,0.9614,0.946467880728437
1,FTT,SYN10,0.003,1,OOB,f8,5,0.96215,0.99379627776666
2,TabNet,LOAN,0.0001,1,OOB,acc_now_delinq,64,0.6620365260360506,0.9812698466606666
2,FTT,SYN10,0.003,1,OOB,f8,5,0.96085,0.9798879327596558
0,SAINT,SYN10,0.01,1,OOB,f1,8,0.9996998596191407,0.9629499816894531
0,FTT,SYN10,0.004,1,OOB,f8,5,0.96055,0.9921953171903142
1,FTT,SYN10,0.004,1,OOB,f8,5,0.9609,0.9953972383430058
2,FTT,SYN10,0.004,1,OOB,f8,5,0.9614,0.9893936361817091
0,FTT,SYN10,0.005,1,OOB,f8,5,0.96055,0.9953972383430058
1,SAINT,SYN10,0.01,1,OOB,f1,8,0.9986992645263671,0.9638499450683594
1,FTT,SYN10,0.005,1,OOB,f8,5,0.9607,0.9933960376225736
2,FTT,SYN10,0.005,1,OOB,f8,5,0.96135,0.9946968180908545
0,FTT,SYN10,0.0001,1,OOB,f9,6,0.9605,0.043225935561336803
1,FTT,SYN10,0.0001,1,OOB,f9,6,0.9627,0.053432059235541327
2,FTT,SYN10,0.0001,1,OOB,f9,6,0.9623,0.04842905743446067
2,SAINT,SYN10,0.01,1,OOB,f1,8,0.9993996429443359,0.9633999633789062
0,FTT,SYN10,0.0005,1,OOB,f9,6,0.961,0.05333199919951971
1,FTT,SYN10,0.0005,1,OOB,f9,6,0.96255,0.04902941765059035
2,FTT,SYN10,0.0005,1,OOB,f9,6,0.96085,0.04522713628176906
0,FTT,SYN10,0.001,1,OOB,f9,6,0.95995,0.07204322593556134
0,SAINT,SYN10,0.0001,1,OOB,f2,2,0.049729838371276855,0.9646499633789063
1,FTT,SYN10,0.001,1,OOB,f9,6,0.9626,0.06103662197318391
2,FTT,SYN10,0.001,1,OOB,f9,6,0.9621,0.07604562737642585
0,FTT,SYN10,0.002,1,OOB,f9,6,0.96195,0.1388833299979988
0,FTT,LOAN,0.001,1,OOB,acc_now_delinq,64,0.6651270600022076,0.9999320767532688
1,FTT,SYN10,0.002,1,OOB,f9,6,0.96125,0.9163498098859315
2,SAINT,LOAN,0.0001,1,OOB,acc_now_delinq,64,0.373787956237793,0.6668590545654297
2,FTT,SYN10,0.002,1,OOB,f9,6,0.95985,0.9047428457074245
1,SAINT,SYN10,0.0001,1,OOB,f2,2,0.04912947654724121,0.9645999908447266
0,FTT,SYN10,0.003,1,OOB,f9,6,0.96115,0.9833900340204123
1,FTT,SYN10,0.003,1,OOB,f9,6,0.96185,0.9869921953171903
2,FTT,SYN10,0.003,1,OOB,f9,6,0.96125,0.9855913548128877
0,FTT,SYN10,0.004,1,OOB,f9,6,0.96005,0.9977986792075245
