EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,CDA,ASR
0,FTT,LOAN,0.0,1,OOB,0.6677760891160563,0.29857361181864495
1,FTT,LOAN,0.0,1,OOB,0.6650676266567045,0.2510146207271307
2,FTT,LOAN,0.0,1,OOB,0.6694826751797859,0.31501638676153443
3,FTT,LOAN,0.0,1,OOB,0.6674619414326832,0.2917013364125728
4,FTT,LOAN,0.0,1,OOB,0.6687949464675367,0.27004584819154354
0,FTT,LOAN,0.0001,1,OOB,0.6680477844097844,0.3107658346068942
1,FTT,LOAN,0.0001,1,OOB,0.6658147887144568,0.2926352969145341
2,FTT,LOAN,0.0001,1,OOB,0.6682091034904355,0.2933315220159962
3,FTT,LOAN,0.0001,1,OOB,0.6660610125743978,0.3346125762026864
4,FTT,LOAN,0.0001,1,OOB,0.6681241987111455,0.2990151129223977
0,FTT,LOAN,0.0005,1,OOB,0.6675808081236893,0.44165393105790457
1,FTT,LOAN,0.0005,1,OOB,0.6654666791193676,0.3350710659036492
2,FTT,LOAN,0.0005,1,OOB,0.6685826845193116,0.4123520521659393
3,FTT,LOAN,0.0005,1,OOB,0.6670883604038071,0.36069554585746066
4,FTT,LOAN,0.0005,1,OOB,0.6680987272773584,0.39393785022924094
0,FTT,LOAN,0.001,1,OOB,0.6679204272408494,0.6840210562064867
1,FTT,LOAN,0.001,1,OOB,0.6674789223885412,0.9970113263937238
2,FTT,LOAN,0.001,1,OOB,0.6692194703639868,0.7513117899777547
3,FTT,LOAN,0.001,1,OOB,0.6674874128664703,0.9994056614987519
4,FTT,LOAN,0.001,1,OOB,0.6681241987111455,0.6980302258447953
0,FTT,LOAN,0.002,1,OOB,0.66689307941144,0.9998641535065376
1,FTT,LOAN,0.002,1,OOB,0.6667317603307891,0.9998641511997147
2,FTT,LOAN,0.002,1,OOB,0.6691430560626258,0.9998132078996077
3,FTT,LOAN,0.002,1,OOB,0.6685911749972406,0.9998301889996434
4,FTT,LOAN,0.002,1,OOB,0.6682855177917965,0.999830191883172
