EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,CDA,ASR
0,FTT,LOAN,0.0,1,CLEAN_OOB,0.6677421272043403,0.29098318899643405
1,FTT,LOAN,0.0,1,CLEAN_OOB,0.6673855271313223,0.3021277318344682
2,FTT,LOAN,0.0,1,CLEAN_OOB,0.6682515558800805,0.31859939886905875
3,FTT,LOAN,0.0,1,CLEAN_OOB,0.6676996748146953,0.25510706583572484
4,FTT,LOAN,0.0,1,CLEAN_OOB,0.6693468275329219,0.2704533876719307
0,FTT,LOAN,0.0005,1,CLEAN_OOB,0.6685317416517376,0.3619290202071659
1,FTT,LOAN,0.0005,1,CLEAN_OOB,0.6651100790463496,0.3018560342338977
2,FTT,LOAN,0.0005,1,CLEAN_OOB,0.6675892986016183,0.37699740189169456
3,FTT,LOAN,0.0005,1,CLEAN_OOB,0.6670798699258781,0.30126169573264955
4,FTT,LOAN,0.0005,1,CLEAN_OOB,0.6684977797400216,0.3259976226863644
0,FTT,LOAN,0.001,1,CLEAN_OOB,0.6683364606593705,0.39741891662421464
1,FTT,LOAN,0.001,1,CLEAN_OOB,0.666859117499724,0.41438978417021854
2,FTT,LOAN,0.001,1,CLEAN_OOB,0.6684892892620926,0.38834077671551565
3,FTT,LOAN,0.001,1,CLEAN_OOB,0.6677930700719144,0.3308427719947698
4,FTT,LOAN,0.001,1,CLEAN_OOB,0.6686930607323887,0.3672779758872474
0,FTT,LOAN,0.002,1,CLEAN_OOB,0.6684553273503766,0.5749872643912379
1,FTT,LOAN,0.002,1,CLEAN_OOB,0.6677251462484823,0.7297288118324305
2,FTT,LOAN,0.002,1,CLEAN_OOB,0.6685657035634536,0.5397612457334986
3,FTT,LOAN,0.002,1,CLEAN_OOB,0.6669355318010851,0.444361425733159
4,FTT,LOAN,0.002,1,CLEAN_OOB,0.6682770273138675,0.5004415011037527
0,FTT,LOAN,0.004,1,CLEAN_OOB,0.6683449511372995,0.9789437935133299
1,FTT,LOAN,0.004,1,CLEAN_OOB,0.6678609938953464,0.9995924535991442
2,FTT,LOAN,0.004,1,CLEAN_OOB,0.6677421272043403,0.9942434070879111
3,FTT,LOAN,0.004,1,CLEAN_OOB,0.6669015698893691,0.9969094397935099
4,FTT,LOAN,0.004,1,CLEAN_OOB,0.6686590988206726,0.9991849210392256
0,FTT,LOAN,0.006,1,CLEAN_OOB,0.6676147700354053,0.9987943623705213
1,FTT,LOAN,0.006,1,CLEAN_OOB,0.6646940456278284,0.9998641511997147
2,FTT,LOAN,0.006,1,CLEAN_OOB,0.6676572224250503,0.9996943401993581
3,FTT,LOAN,0.006,1,CLEAN_OOB,0.6675468462119732,0.9998641511997147
4,FTT,LOAN,0.006,1,CLEAN_OOB,0.6690156988936907,0.9998811343182205
0,FTT,LOAN,0.008,1,CLEAN_OOB,0.6687270226441047,0.9997622686364408
1,FTT,LOAN,0.008,1,CLEAN_OOB,0.6668845889335111,0.999847170099679
2,FTT,LOAN,0.008,1,CLEAN_OOB,0.6686421178648146,0.9997792456995365
3,FTT,LOAN,0.008,1,CLEAN_OOB,0.66655346029428,0.999847170099679
4,FTT,LOAN,0.008,1,CLEAN_OOB,0.6685232511738086,0.9998981151299032
0,FTT,LOAN,0.01,1,CLEAN_OOB,0.6689223036364716,0.9998641535065376
1,FTT,LOAN,0.01,1,CLEAN_OOB,0.6652968695607876,0.999847170099679
2,FTT,LOAN,0.01,1,CLEAN_OOB,0.6685317416517376,0.9997792456995365
3,FTT,LOAN,0.01,1,CLEAN_OOB,0.6668506270217951,0.999847170099679
4,FTT,LOAN,0.01,1,CLEAN_OOB,0.6686845702544596,0.9998981151299032
